line,sid,msg,rule
186,417,PROTOCOL-ICMP Information Request,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Information Request""; icode:0; itype:15; metadata:ruleset community; classtype:misc-activity; sid:417; rev:8; )"
187,418,PROTOCOL-ICMP Information Request undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Information Request undefined code""; icode:>0; itype:15; metadata:ruleset community; classtype:misc-activity; sid:418; rev:10; )"
188,419,PROTOCOL-ICMP Mobile Host Redirect,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Host Redirect""; icode:0; itype:32; metadata:ruleset community; classtype:misc-activity; sid:419; rev:8; )"
189,420,PROTOCOL-ICMP Mobile Host Redirect undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Host Redirect undefined code""; icode:>0; itype:32; metadata:ruleset community; classtype:misc-activity; sid:420; rev:10; )"
190,421,PROTOCOL-ICMP Mobile Registration Reply,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Reply""; icode:0; itype:36; metadata:ruleset community; classtype:misc-activity; sid:421; rev:8; )"
191,422,PROTOCOL-ICMP Mobile Registration Reply undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Reply undefined code""; icode:>0; itype:36; metadata:ruleset community; classtype:misc-activity; sid:422; rev:10; )"
192,423,PROTOCOL-ICMP Mobile Registration Request,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Request""; icode:0; itype:35; metadata:ruleset community; classtype:misc-activity; sid:423; rev:8; )"
193,424,PROTOCOL-ICMP Mobile Registration Request undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Request undefined code""; icode:>0; itype:35; metadata:ruleset community; classtype:misc-activity; sid:424; rev:10; )"
194,425,PROTOCOL-ICMP Parameter Problem Bad Length,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Parameter Problem Bad Length""; icode:2; itype:12; metadata:ruleset community; classtype:misc-activity; sid:425; rev:9; )"
195,426,PROTOCOL-ICMP Parameter Problem Missing a Required Option,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Parameter Problem Missing a Required Option""; icode:1; itype:12; metadata:ruleset community; classtype:misc-activity; sid:426; rev:10; )"
196,427,PROTOCOL-ICMP Parameter Problem Unspecified Error,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Parameter Problem Unspecified Error""; icode:0; itype:12; metadata:ruleset community; classtype:misc-activity; sid:427; rev:9; )"
197,428,PROTOCOL-ICMP Parameter Problem undefined Code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Parameter Problem undefined Code""; icode:>2; itype:12; metadata:ruleset community; classtype:misc-activity; sid:428; rev:10; )"
198,429,PROTOCOL-ICMP Photuris Reserved,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Photuris Reserved""; icode:0; itype:40; metadata:ruleset community; classtype:misc-activity; sid:429; rev:9; )"
199,430,PROTOCOL-ICMP Photuris Unknown Security Parameters Index,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Photuris Unknown Security Parameters Index""; icode:1; itype:40; metadata:ruleset community; classtype:misc-activity; sid:430; rev:9; )"
200,431,"PROTOCOL-ICMP Photuris Valid Security Parameters, But Authentication Failed","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Photuris Valid Security Parameters, But Authentication Failed""; icode:2; itype:40; metadata:ruleset community; classtype:misc-activity; sid:431; rev:9; )"
201,432,"PROTOCOL-ICMP Photuris Valid Security Parameters, But Decryption Failed","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Photuris Valid Security Parameters, But Decryption Failed""; icode:3; itype:40; metadata:ruleset community; classtype:misc-activity; sid:432; rev:9; )"
202,433,PROTOCOL-ICMP Photuris undefined code!,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Photuris undefined code!""; icode:>3; itype:40; metadata:ruleset community; classtype:misc-activity; sid:433; rev:11; )"
203,436,PROTOCOL-ICMP Redirect for TOS and Host,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Redirect for TOS and Host""; icode:3; itype:5; metadata:ruleset community; reference:cve,1999-0265; classtype:misc-activity; sid:436; rev:10; )"
204,437,PROTOCOL-ICMP Redirect for TOS and Network,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Redirect for TOS and Network""; icode:2; itype:5; metadata:ruleset community; reference:cve,1999-0265; classtype:misc-activity; sid:437; rev:10; )"
205,438,PROTOCOL-ICMP Redirect undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Redirect undefined code""; icode:>3; itype:5; metadata:ruleset community; reference:cve,1999-0265; classtype:misc-activity; sid:438; rev:13; )"
206,439,PROTOCOL-ICMP Reserved for Security Type 19,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Reserved for Security Type 19""; icode:0; itype:19; metadata:ruleset community; classtype:misc-activity; sid:439; rev:9; )"
207,440,PROTOCOL-ICMP Reserved for Security Type 19 undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Reserved for Security Type 19 undefined code""; icode:>0; itype:19; metadata:ruleset community; classtype:misc-activity; sid:440; rev:10; )"
208,441,PROTOCOL-ICMP Router Advertisement,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Router Advertisement""; icode:0; itype:9; metadata:ruleset community; classtype:misc-activity; sid:441; rev:10; )"
209,443,PROTOCOL-ICMP Router Selection,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Router Selection""; icode:0; itype:10; metadata:ruleset community; classtype:misc-activity; sid:443; rev:9; )"
210,445,PROTOCOL-ICMP SKIP,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP SKIP""; icode:0; itype:39; metadata:ruleset community; classtype:misc-activity; sid:445; rev:8; )"
211,446,PROTOCOL-ICMP SKIP undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP SKIP undefined code""; icode:>0; itype:39; metadata:ruleset community; classtype:misc-activity; sid:446; rev:10; )"
212,448,PROTOCOL-ICMP Source Quench undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Source Quench undefined code""; icode:>0; itype:4; metadata:ruleset community; classtype:misc-activity; sid:448; rev:10; )"
213,449,PROTOCOL-ICMP Time-To-Live Exceeded in Transit,"alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Time-To-Live Exceeded in Transit""; icode:0; itype:11; metadata:ruleset community; classtype:misc-activity; sid:449; rev:9; )"
214,450,PROTOCOL-ICMP Time-To-Live Exceeded in Transit undefined code,"alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Time-To-Live Exceeded in Transit undefined code""; icode:>1; itype:11; metadata:ruleset community; classtype:misc-activity; sid:450; rev:11; )"
215,451,PROTOCOL-ICMP Timestamp Reply,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Timestamp Reply""; icode:0; itype:14; metadata:ruleset community; classtype:misc-activity; sid:451; rev:8; )"
216,452,PROTOCOL-ICMP Timestamp Reply undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Timestamp Reply undefined code""; icode:>0; itype:14; metadata:ruleset community; classtype:misc-activity; sid:452; rev:10; )"
217,453,PROTOCOL-ICMP Timestamp Request,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Timestamp Request""; icode:0; itype:13; metadata:ruleset community; classtype:misc-activity; sid:453; rev:8; )"
218,454,PROTOCOL-ICMP Timestamp Request undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Timestamp Request undefined code""; icode:>0; itype:13; metadata:ruleset community; classtype:misc-activity; sid:454; rev:10; )"
219,456,PROTOCOL-ICMP Traceroute,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Traceroute""; icode:0; itype:30; metadata:ruleset community; classtype:misc-activity; sid:456; rev:8; )"
220,457,PROTOCOL-ICMP Traceroute undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Traceroute undefined code""; icode:>0; itype:30; metadata:ruleset community; classtype:misc-activity; sid:457; rev:10; )"
221,458,PROTOCOL-ICMP unassigned type 1,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP unassigned type 1""; icode:0; itype:1; metadata:ruleset community; classtype:misc-activity; sid:458; rev:12; )"
222,459,PROTOCOL-ICMP unassigned type 1 undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP unassigned type 1 undefined code""; itype:1; metadata:ruleset community; classtype:misc-activity; sid:459; rev:12; )"
223,460,PROTOCOL-ICMP unassigned type 2,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP unassigned type 2""; icode:0; itype:2; metadata:ruleset community; classtype:misc-activity; sid:460; rev:12; )"
224,461,PROTOCOL-ICMP unassigned type 2 undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP unassigned type 2 undefined code""; itype:2; metadata:ruleset community; classtype:misc-activity; sid:461; rev:12; )"
225,462,PROTOCOL-ICMP unassigned type 7,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP unassigned type 7""; icode:0; itype:7; metadata:ruleset community; classtype:misc-activity; sid:462; rev:12; )"
226,463,PROTOCOL-ICMP unassigned type 7 undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP unassigned type 7 undefined code""; itype:7; metadata:ruleset community; reference:cve,1999-0454; classtype:misc-activity; sid:463; rev:14; )"
316,613,INDICATOR-SCAN myscan,"alert tcp $EXTERNAL_NET 10101 -> $HOME_NET any ( msg:""INDICATOR-SCAN myscan""; flow:stateless; ack:0; flags:S; ttl:>220; metadata:ruleset community; reference:url,attack.mitre.org/techniques/T1018; reference:url,attack.mitre.org/techniques/T1040; reference:url,attack.mitre.org/techniques/T1046; classtype:attempted-recon; sid:613; rev:11; )"
319,619,INDICATOR-SCAN cybercop os probe,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 ( msg:""INDICATOR-SCAN cybercop os probe""; flow:stateless; isdataat:!0; flags:12FS; metadata:ruleset community; reference:url,attack.mitre.org/techniques/T1018; reference:url,attack.mitre.org/techniques/T1040; reference:url,attack.mitre.org/techniques/T1046; classtype:attempted-recon; sid:619; rev:12; )"
320,622,INDICATOR-SCAN ipEye SYN scan,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN ipEye SYN scan""; flow:stateless; flags:S; seq:1958810375; metadata:ruleset community; reference:url,attack.mitre.org/techniques/T1018; reference:url,attack.mitre.org/techniques/T1040; reference:url,attack.mitre.org/techniques/T1046; classtype:attempted-recon; sid:622; rev:12; )"
323,630,INDICATOR-SCAN synscan portscan,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN synscan portscan""; flow:stateless; flags:FS; id:39426; metadata:ruleset community; reference:url,attack.mitre.org/techniques/T1018; reference:url,attack.mitre.org/techniques/T1040; reference:url,attack.mitre.org/techniques/T1046; classtype:attempted-recon; sid:630; rev:11; )"
790,1257,SERVER-OTHER Winnuke attack,"alert tcp $EXTERNAL_NET any -> $HOME_NET 135:139 ( msg:""SERVER-OTHER Winnuke attack""; flow:stateless; flags:U+; metadata:ruleset community; reference:bugtraq,2010; reference:cve,1999-0153; classtype:attempted-dos; sid:1257; rev:15; )"
863,1408,SERVER-OTHER MSDTC attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET 3372 ( msg:""SERVER-OTHER MSDTC attempt""; flow:to_server,established; isdataat:1023; metadata:ruleset community; reference:bugtraq,4006; reference:cve,2002-0224; reference:nessus,10939; classtype:attempted-dos; sid:1408; rev:17; )"
870,1415,PROTOCOL-SNMP Broadcast request,"alert udp any any -> 255.255.255.255 161 ( msg:""PROTOCOL-SNMP Broadcast request""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1415; rev:18; )"
871,1416,PROTOCOL-SNMP broadcast trap,"alert udp any any -> 255.255.255.255 162 ( msg:""PROTOCOL-SNMP broadcast trap""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1416; rev:18; )"
872,1417,PROTOCOL-SNMP request udp,"alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""PROTOCOL-SNMP request udp""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1417; rev:18; )"
873,1418,PROTOCOL-SNMP request tcp,"alert tcp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""PROTOCOL-SNMP request tcp""; flow:stateless; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1418; rev:19; )"
874,1419,PROTOCOL-SNMP trap udp,"alert udp $EXTERNAL_NET any -> $HOME_NET 162 ( msg:""PROTOCOL-SNMP trap udp""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1419; rev:18; )"
875,1420,PROTOCOL-SNMP trap tcp,"alert tcp $EXTERNAL_NET any -> $HOME_NET 162 ( msg:""PROTOCOL-SNMP trap tcp""; flow:stateless; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1420; rev:19; )"
